辆格内靛,辆格疙,朝楼,俺牢,寇惫牢,扁包拌,陛蓝捧磊,焊氰,捧脚,篮青,扁鸥陛蓝,楷扁陛,扁鸥过牢,扁鸥寇牢,荤葛戚靛
A328130,风粗,20230403,-13186,9372,-840,-61,0,-472,0,0,0,2454,2200,-307
A328130,风粗,20230406,-158636,86272,39396,-11516,322,25983,0,-6049,0,36898,-3930,30656
A328130,风粗,20230405,-69321,9807,34650,-5613,322,22734,0,-3049,0,29183,-4319,20256
A328130,风粗,20230407,-20276,36798,-8661,-1569,0,-5633,0,-6746,0,-7322,-539,5287
A328130,风粗,20230410,4443,-43954,37395,1017,2626,31476,0,-10070,0,2088,28,12346
A328130,风粗,20230412,121680,43005,-84906,-1510,3045,41430,0,-109747,-2758,-81139,1360,-15366
A328130,风粗,20230411,-11023,5445,28129,4424,3045,33770,0,-27747,0,-23486,935,14637
A328130,风粗,20230414,2927,-16401,-34385,3258,-4041,-1157,0,-25291,0,42456,5403,-7154
A328130,风粗,20230413,87909,-80133,-56356,1425,-898,-50912,0,0,0,47284,1296,-5971
A328130,风粗,20230418,36242,-11016,-33274,5737,-2888,-14946,0,-50000,11710,1268,6780,17113
A328130,风粗,20230417,57335,-40510,-16328,2142,-1091,-11586,0,0,0,1618,-2115,-5793
A328130,风粗,20230420,-71215,130141,-64896,-7174,99,-5443,0,0,0,3579,2391,-52378
A328130,风粗,20230419,-28178,43795,-13842,-1266,99,-275,0,0,0,2868,-4643,-12400
A328130,风粗,20230421,25967,-37432,10882,-3743,0,-1958,0,0,16889,-1399,1982,-306
A328130,风粗,20230424,23432,-21061,-7843,-1096,0,-6473,0,0,0,6442,-970,-274
A328130,风粗,20230426,9518,24585,-24302,-821,0,-3879,0,1,-18858,1778,-11579,-745
A328130,风粗,20230425,19913,4088,-24786,-1220,0,-3829,0,0,-18858,576,209,-879
A328130,风粗,20230428,-21904,-26743,42276,5505,152,15783,0,0,0,3272,3099,20836
A328130,风粗,20230427,-2851,605,2507,-414,152,2738,0,0,0,53,-314,31
A328130,风粗,20230502,12649,-49163,37941,4897,-710,9171,0,0,0,3975,-5402,24583
A328130,风粗,20230504,58751,-94661,28673,4341,0,2741,0,-4000,0,6928,309,25591
A328130,风粗,20230503,9022,-40947,23778,2813,0,1465,0,0,0,7756,391,19500
A328130,风粗,20230508,-32611,-12642,38806,15594,0,25083,0,-4500,0,2014,4433,2629
A328130,风粗,20230510,55314,-27234,-25237,-1291,0,-693,0,-27035,334,-481,-2362,3448
A328130,风粗,20230509,31112,-37162,3505,551,0,-333,0,0,334,216,2329,2953
A328130,风粗,20230512,101633,-6853,-61870,28280,-263,9446,0,-113658,1896,-26620,-6290,12429
A328130,风粗,20230511,88189,15563,-69786,22272,-379,13541,0,-113658,1744,-28475,-5491,6694
A328130,风粗,20230516,24411,8260,-32089,-12414,3641,-3166,0,-28964,1881,-2334,1752,6933
A328130,风粗,20230515,22922,-18295,-6714,-10463,-359,-3772,0,1,1881,-351,2438,5998
A328130,风粗,20230518,19268,-2548,-7393,894,-208,-7932,0,-3211,427,-10712,1385,2637
A328130,风粗,20230517,38292,-30474,-8437,1391,-208,-8130,0,-1606,116,1659,-1040,0
A328130,风粗,20230519,-21699,18367,3184,389,2970,-46,0,0,80,704,-556,-209
A328130,风粗,20230522,22799,3551,-10273,-237,-166,-9809,0,0,25,-15873,-204,-86
A328130,风粗,20230524,1400,151698,-94905,-8615,2451,-2493,0,-70581,-11900,-56629,-1564,-3767
A328130,风粗,20230523,58486,50098,-63384,-7098,-418,-4082,0,-31569,-25749,-46102,902,5532
A328130,风粗,20230526,90744,7566,-33316,-6946,7046,-27191,0,-19606,4671,-67486,2492,8710
A328130,风粗,20230525,13581,25730,-30694,-6457,7069,-29183,0,-19606,4671,-8046,-571,12812
A328130,风粗,20230530,17454,-6450,-1112,-2009,243,452,0,0,0,-10223,331,202
A328130,风粗,20230601,-3337,176574,-118511,-17246,-212,-32480,0,0,0,-53455,-1271,-68573
A328130,风粗,20230531,-29215,92516,-40016,-1535,0,-2608,0,0,0,-21588,-1697,-35873
A328130,风粗,20230602,-39180,58744,-25047,794,2172,-8127,0,0,-15749,6349,-866,-4137
A328130,风粗,20230605,25279,-26467,-3316,-4894,-61,664,0,0,3698,3516,988,-2723
A328130,风粗,20230607,28263,111467,-50142,1973,-2173,-5141,0,0,0,-86342,-3246,-44801
A328130,风粗,20230609,126901,-53827,-31736,2261,-3246,-32422,0,0,13755,-41896,558,-12084
A328130,风粗,20230608,124481,-92166,-16445,-101,-3337,-18688,0,0,15000,-17640,1770,-9319
A328130,风粗,20230613,199303,-128736,-25923,-2715,-5073,-23142,0,0,10351,-45391,747,-5344
A328130,风粗,20230612,146863,-111609,-12803,-483,-5073,-12233,0,0,10351,-22333,-118,-5365
A328130,风粗,20230615,128727,-32682,-18229,600,1372,-10293,0,1,8438,-76373,-1443,-18347
A328130,风粗,20230614,38084,637,-18352,-73,1372,-4358,0,0,3062,-19644,-725,-18355
A328130,风粗,20230616,103304,-80447,-19437,-718,0,-1344,0,1,0,-5727,2307,-17376
A328130,风粗,20230619,51049,-39434,-101,201,0,-2405,0,0,0,-11809,295,2103
A328130,风粗,20230621,-22691,168377,-83508,501,1096,-39504,0,-1,-59797,-59981,-2197,14197
A328130,风粗,20230620,-76815,207607,-86820,255,0,-36164,0,0,-59797,-40886,-3086,8886
A328130,风粗,20230623,177195,-66500,-74734,-859,-975,-50584,0,1,-5301,-36779,818,-17016
A328130,风粗,20230622,-1247,35917,-11775,738,45,-10586,0,1,-4009,-24038,1143,2036
