¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,∞≥¿Œ,ø‹±π¿Œ,±‚∞¸∞Ë,±›¿∂≈ı¿⁄,∫∏«Ë,≈ıΩ≈,¿∫«‡,±‚≈∏±›¿∂,ø¨±‚±›,±‚≈∏π˝¿Œ,±‚≈∏ø‹¿Œ,ªÁ∏∆›µÂ
A239340,¡‹¿Œ≈Õ≥›,20230418,70169,-70037,0,0,0,0,0,0,0,0,-132,0
A239340,¡‹¿Œ≈Õ≥›,20230417,18696,-18463,0,0,0,0,0,0,0,0,-233,0
A239340,¡‹¿Œ≈Õ≥›,20230420,-23288,22867,0,0,0,0,0,0,0,474,-53,0
A239340,¡‹¿Œ≈Õ≥›,20230419,-44952,44105,0,0,0,0,0,0,0,900,-53,0
A239340,¡‹¿Œ≈Õ≥›,20230421,-16366,16317,0,0,0,0,0,0,0,0,49,0
A239340,¡‹¿Œ≈Õ≥›,20230424,-42942,42584,0,0,0,0,0,0,0,358,0,0
A239340,¡‹¿Œ≈Õ≥›,20230426,-85927,85916,0,0,0,0,0,0,0,0,11,0
A239340,¡‹¿Œ≈Õ≥›,20230425,-67767,67767,0,0,0,0,0,0,0,0,0,0
A239340,¡‹¿Œ≈Õ≥›,20230428,-6097,5797,0,0,0,0,0,0,0,0,300,0
A239340,¡‹¿Œ≈Õ≥›,20230427,-11433,11433,0,0,0,0,0,0,0,0,0,0
A239340,¡‹¿Œ≈Õ≥›,20230502,-14160,14408,738,0,0,738,0,0,0,-101,-885,0
A239340,¡‹¿Œ≈Õ≥›,20230504,17204,-16269,-721,0,0,-721,0,0,0,-257,43,0
A239340,¡‹¿Œ≈Õ≥›,20230503,1209,-469,-475,0,0,-475,0,0,0,-257,-8,0
A239340,¡‹¿Œ≈Õ≥›,20230508,14962,-15000,-17,0,0,-17,0,0,0,0,55,0
A239340,¡‹¿Œ≈Õ≥›,20230510,-1113,1113,0,0,0,0,0,0,0,0,0,0
A239340,¡‹¿Œ≈Õ≥›,20230509,5293,-5293,0,0,0,0,0,0,0,0,0,0
A239340,¡‹¿Œ≈Õ≥›,20230512,-26713,27665,0,0,0,0,0,0,0,-1000,48,0
A239340,¡‹¿Œ≈Õ≥›,20230511,-34839,35786,0,0,0,0,0,0,0,-1000,53,0
A239340,¡‹¿Œ≈Õ≥›,20230516,-28015,26177,0,0,0,0,0,0,0,1841,-3,0
A239340,¡‹¿Œ≈Õ≥›,20230515,-5781,5784,0,0,0,0,0,0,0,0,-3,0
A239340,¡‹¿Œ≈Õ≥›,20230518,-78061,76977,0,0,0,0,0,0,0,784,300,0
A239340,¡‹¿Œ≈Õ≥›,20230517,-58943,58943,0,0,0,0,0,0,0,0,0,0
A239340,¡‹¿Œ≈Õ≥›,20230519,-9267,10147,0,0,0,0,0,0,0,0,-880,0
